"","2.5%","97.5%","mean","Rhat"
"a[1]",-18.7477754379055,19.6001561638626,0.3772938619859,0.999971446221477
"a[2]",-6.96189000941826,23.8369828185174,9.18680534095035,0.999975486531379
"a[3]",-14.3073630930766,21.9869172191257,3.9289850018128,0.999968215832081
"a[4]",-11.3824883776659,25.1801156741681,7.08742152313068,0.999977280455856
"a[5]",-13.9164801373937,24.6939122387961,5.52844578555509,0.999996370543828
"a[6]",-14.4523235944636,19.5001490264956,2.58182365279843,0.999962061067949
"a[7]",-12.3641263553516,22.6673373618893,5.41452832788092,0.999987318239593
"a[8]",-15.0052397358873,20.0738160335158,2.67507979584738,0.99997468417778
"a[9]",-16.0043594357396,21.8723256722119,2.99304821173801,1.00001800382413
"a[10]",-18.2952341056864,18.7907004664353,0.358080372755658,0.999988825743961
"a[11]",-15.0574990019491,15.51577594859,0.235075277423682,0.999972623592937
"a[12]",-12.7252713223808,22.251852231479,5.13174915573915,1.00002011402204
"a[13]",-13.620297909471,23.411326073549,5.14378215592209,0.99999210096472
"a[14]",-18.5866988838367,20.0220063701728,0.684490924790393,1.00002705750161
"a[15]",-20.3751095069604,15.0399558225433,-2.93908178372604,1.00001289607619
"b[1]",-0.898522211963959,0.9463759627024,0.0210895345941477,0.999966353045256
"b[2]",-1.4277015681516,0.326661913888379,-0.590865216009296,0.999978398125551
"b[3]",-0.862913345464943,0.993373020480146,0.056503741261329,0.999979840112478
"b[4]",-1.34665755431881,0.611936406816606,-0.3781905831444,0.99997456906465
"b[5]",-1.34814019610918,0.76493141663866,-0.301547399691131,1.00000481823019
"b[6]",-0.974357733068442,0.793332650852039,-0.0964014297104521,0.99996284526571
"b[7]",-1.23757687223381,0.770094896748789,-0.24817123176743,0.999997244281032
"b[8]",-0.861827234472815,0.806798324330478,-0.0343711994425847,0.999976638018353
"b[9]",-1.18985788222328,0.813796381582731,-0.189347836887525,1.00002159716173
"b[10]",-0.912783393579177,0.906380812414441,-0.00528321248476231,0.999994899752135
"b[11]",-0.852339896848411,0.838453730717525,-0.0069260236053171,0.99997294387007
"b[12]",-1.29085528389764,0.581234998717588,-0.374923023364765,1.00001688750162
"b[13]",-1.28962441248081,0.74257419673919,-0.292303287649987,0.999984921704832
"b[14]",-1.32402004609031,0.928225180658274,-0.205126662000353,1.0000329761126
"b[15]",-0.891794878838903,1.10987566009597,0.121225299881165,1.00001126393368
"sigma_pop[1]",2.8642855335232,11.1752739237816,5.50354369306129,1.00012856085174
