"","2.5%","97.5%","mean","Rhat"
"a[1]",-2.3436810539614,16.209763847965,8.29332414138787,1.00018813515444
"a[2]",-10.5014602044357,21.205807271479,7.79758979447215,1.0001651448604
"a[3]",-6.68054420453201,9.7486176495609,1.57337601629171,0.999986426813255
"a[4]",-15.0506002743727,19.804958526935,2.46443467185134,0.999993470293558
"a[5]",-16.93815178782,18.4214715764787,0.786717827184251,0.999996121877148
"a[6]",-1.47886901958448,11.2039941294931,5.06090378390343,0.999980470513486
"a[7]",-3.25939932989105,18.1616833944575,8.7062673697967,0.999966660444606
"a[8]",-4.72379607514053,14.1916747612043,4.99414065001603,1.00000406947988
"a[9]",-10.9502176681733,19.975378626428,5.0422075824911,0.999975765590066
"a[10]",-16.7720377559545,18.8695864507658,1.07931302190876,0.999982893741987
"a[11]",-14.7475867255933,15.2881533385248,0.230615791440899,0.999970810554035
"a[12]",-11.2341941677829,21.3748884622084,5.58586016378954,1.00001082163007
"a[13]",-12.6603002322645,15.6653997525842,1.9202274184358,0.999989057250721
"a[14]",9.08409947064465,15.5118711646345,12.4665513728558,1.00007620270334
"a[15]",-13.4196506223286,15.3149745419006,1.06217396411313,0.999985585750314
"b[1]",-0.757378852795556,0.145513892932358,-0.371709466251712,1.00018417293048
"b[2]",-1.18391100215062,0.548346349841594,-0.449537200346355,1.00015479434379
"b[3]",-0.465624716011093,0.369856280214879,-0.0504307963477982,0.999981821901757
"b[4]",-0.932013533158713,0.940561186619823,-0.00183814625909205,0.999987992948516
"b[5]",-0.940306953913758,1.05397561226939,0.0536841953895584,0.999996271045578
"b[6]",-0.580540978899396,0.0808280243126993,-0.260141774072213,0.999980826143894
"b[7]",-0.95269314487595,0.248398318341066,-0.421519739146249,0.999963829618754
"b[8]",-0.644446091027185,0.238396838078298,-0.214707416287302,1.00000435693118
"b[9]",-0.946189701667333,0.637153826074978,-0.181340760188418,0.999978290185285
"b[10]",-0.818590747034195,0.917544952996718,0.0480196716214517,0.999985365941062
"b[11]",-0.746649769715838,0.921940865226377,0.0905288687796937,0.999969190743748
"b[12]",-1.18110952928609,0.561180155099541,-0.339420389720387,1.00000122433561
"b[13]",-0.85014719401527,0.806291972043088,-0.0475241865295259,0.999985960351831
"b[14]",-0.789727062051371,-0.425943125796233,-0.61715587947556,1.00007612386157
"b[15]",-0.794814510979971,0.861425851179349,0.0264242414797929,0.999981407456922
"sigma_pop[1]",0.238856355703014,1.44686174495776,0.564079345177557,1.00030071565409
"sigma_pop[2]",0.409972088891266,5.53362385367191,1.63113394042591,1.0000250991425
"sigma_pop[3]",0.893977993145687,2.44946770100333,1.44709948072235,0.999992413815258
"sigma_pop[4]",1.92959901815685,4.58815511661668,2.92575010705876,0.999985882146113
"sigma_pop[5]",1.62277658463503,6.76355001578656,3.23490662901834,1.00004582057084
"sigma_pop[6]",0.515913338620266,1.46398709961892,0.843775029753885,0.999963891937445
"sigma_pop[7]",0.701646230637761,3.11485255131322,1.43198753883559,1.00006365783245
"sigma_pop[8]",0.801682358489375,1.97830573376341,1.23335205361443,1.00004305913233
"sigma_pop[9]",1.0043001792676,3.16634651378942,1.7398286454718,1.00004692784409
"sigma_pop[10]",1.52426253210942,5.6292281714134,2.85259459502082,1.00001950032037
"sigma_pop[11]",1.30189459662896,4.36643237048031,2.32055447793651,0.99997566475895
"sigma_pop[12]",1.60636054417422,5.5228719898711,2.90852263323704,0.999984959608847
"sigma_pop[13]",1.43532939961901,6.36891139196166,2.95559582407675,0.999967972450257
"sigma_pop[14]",0.265014979251983,0.913209218734195,0.474358737145844,0.999994366286279
"sigma_pop[15]",1.28311747726029,4.30803162638369,2.29306597577014,1.00004972380393
"mu[1]",0.260594481827903,1.95839978591262,1.21159504398178,1.00013958032642
"mu[2]",0.2642382100051,1.81172351948066,1.12835867103148,1.00012388574069
"mu[3]",-0.156542508035377,1.06730941042994,0.403584213284217,1.00000380061048
"mu[4]",-0.277229302347495,1.06097676464626,0.326351245581451,1.00002090161759
"mu[5]",-0.00205777446652209,1.10428973030428,0.525127309719297,0.999984283003505
"mu[6]",-0.259207766552271,1.06174979269492,0.337915543391145,1.00001826862921
"mu[7]",-3.12270203371045,1.73523801756457,-0.984440514220722,0.999982383539948
"mu[8]",-2.82707636449006,1.63165765403913,-0.748968644589782,0.999970519313205
"mu[9]",-2.54834750782978,2.37115930399571,0.354377599737385,1.00007817596952
"mu[10]",-2.6233959416709,1.62600146622053,-0.488254906025005,0.999972638406106
"mu[11]",-0.38652765068379,1.67776055509677,0.648923485074435,1.00001454785629
"mu[12]",-0.782657093413687,1.73896402058848,0.477556837149571,0.999971529507147
"mu[13]",-0.549628769034039,1.91707364594808,0.688630732865021,1.00001273874965
"mu[14]",-0.76614988293828,1.72730672225835,0.48012040296679,0.999971767543618
"mu[15]",-0.442207151002386,1.51786378892472,0.536644920371844,0.999982906568599
"mu[16]",-0.523879794290495,1.563060494156,0.519792629090852,0.999978205937602
"mu[17]",-0.531643216651699,1.56760275446236,0.518411785977593,0.999977877638848
"mu[18]",-0.417966648389709,1.72434478673493,0.657720857102081,1.00001455459579
"mu[19]",-0.46046819655332,1.52889957743968,0.532340291827674,0.999981583935564
"mu[20]",-1.17605729205716,2.76468418099931,0.800103805793569,1.00000222848472
"mu[21]",-0.330595867649531,1.46780520307812,0.570643682411088,0.999995627638847
"mu[22]",0.757533534700036,4.0842316193295,2.43059439922145,1.00005420728112
"mu[23]",0.073505589249971,4.75696135368346,2.43366869883978,1.00004484105777
"mu[24]",0.760582309206222,4.09872917601247,2.43002227619831,1.00004449768069
"mu[25]",0.761881691856178,4.09478858726807,2.43004492478877,1.00004494779634
"mu[26]",0.573648960292111,4.32009353422898,2.42865209135327,1.00001494633273
"mu[27]",0.690130767111008,4.1319309204354,2.43135416633575,1.00006017715011
"mu[28]",0.415844770035357,4.49109747119713,2.42802099445872,1.00000381395112
"mu[29]",0.760005365808954,4.08284537487298,2.43057339183826,1.00005392230996
"mu[30]",0.755455090368648,4.11232991790245,2.42991253449185,1.00004225978836
"mu[31]",0.430242038461348,4.47928430149363,2.42806563514571,1.00000450909911
"mu[32]",0.770920650534614,4.08009667067038,2.43033268219246,1.00005023753523
"mu[33]",0.76478423122248,4.07985748245642,2.43044122037266,1.00005199172586
"mu[34]",0.758354248460628,4.10529064338193,2.42996177054449,1.00004327494438
"mu[35]",-1.37014279093348,4.62673512636999,1.67074314198826,0.999971534569641
"mu[36]",-1.33288616143784,4.97332503904561,1.80738859202823,0.99997103490788
"mu[37]",-1.22018175127258,4.82344293033019,1.78900175510731,0.999968994066499
"mu[38]",-1.08868116272476,4.52508775955934,1.72261230050011,0.999966471263134
"mu[39]",-1.17394192038057,4.54025839034436,1.70149651662233,0.999967938390224
"mu[40]",-1.3432773807651,4.98565075867991,1.80895438123937,0.9999712193702
"mu[41]",-0.272019204142707,1.26645673390556,0.514492711500915,0.999974429568699
"mu[42]",-1.86258930811834,0.448079455298444,-0.730502461379212,0.999980142562332
"mu[43]",-0.293954673632766,0.953291226594452,0.338866046725386,0.9999722705799
"mu[44]",-0.625956996159416,0.494627144563454,-0.0671409374950683,0.999973177316894
"mu[45]",-0.853873194598944,0.438503371592538,-0.21509657149864,0.999975862440784
"mu[46]",-0.27370862194044,1.55495506123116,0.664507802083031,0.999975897181978
"mu[47]",-0.767750393361672,0.452962305009365,-0.161442330596246,0.999974931933984
"mu[48]",-0.541397655814651,0.540942726779553,-0.00102156905124159,0.999972046707
"mu[49]",-0.770786345208198,0.451501405745981,-0.163610177846375,0.999974971123596
"mu[50]",-0.360566317467894,0.742272640220474,0.196252608753047,0.999970926751804
"mu[51]",-0.272667350649811,1.16698771729068,0.460730079926936,0.999973799336181
"mu[52]",0.12931113755761,2.55767431026861,1.37709290539129,1.00001935667248
"mu[53]",0.255308470589838,3.62112836628525,2.09543279137622,1.00000073151688
"mu[54]",-0.968745413359857,2.24607665902893,0.502439446662821,0.999983608077638
"mu[55]",0.195806627165911,4.07614354499237,2.33605031194901,0.999993711135855
"mu[56]",-0.786472865934106,2.24251636069956,0.610453879819047,0.999987844021446
"mu[57]",-0.171295592761975,2.30130306220044,1.04062982608768,1.00000925541883
"mu[58]",-0.738548355227244,2.23855092146577,0.639433361885352,0.999989091201587
"mu[59]",-0.289825754777738,1.09931245281318,0.406111548226749,0.999966586306472
"mu[60]",-0.365734329835788,1.05354094022808,0.342657839512015,0.999968379185626
"mu[61]",-0.38463257635902,2.19475175533111,0.938854324889617,0.999992904391468
"mu[62]",-0.659737086146438,1.03621955568861,0.178943434592948,0.999979501682379
"mu[63]",-0.722421551274467,1.04456902978534,0.150954787721872,0.999981470818933
"mu[64]",-0.394428675196483,2.22841703646238,0.951200001326137,0.999993266504691
"mu[65]",-0.554111130355919,1.02915000616307,0.230498773272735,0.999975693774766
"mu[66]",-0.430071375250995,1.03543325893685,0.299205148631746,0.999970815645019
"mu[67]",-0.26290650534501,1.12897976155259,0.435633817966253,0.999966638893922
"mu[68]",-0.219214783960122,1.45615117672364,0.635580099383802,0.999977581531886
"mu[69]",-1.2823714581448,1.17553817277552,-0.078322059771476,0.999992907133522
"mu[70]",-0.208719702121049,1.33754743416849,0.576535559904795,0.999973357704528
"mu[71]",-0.542872284576147,1.02832157061715,0.236224305089421,0.999975267057121
"mu[72]",0.144344500827936,2.70879763908362,1.40204368407702,1.00000932226779
"mu[73]",0.286429316707757,2.71666532392022,1.5255568905372,0.999997361611722
"mu[74]",0.29303149058336,2.75218394966072,1.54913118936169,0.999994008609438
"mu[75]",0.151630039601358,2.70394598970873,1.40519196096214,1.00000918884792
"mu[76]",-0.169946153711133,3.68009118046045,1.84067963859958,0.999970139570436
"mu[77]",0.160439354457147,2.69874730617088,1.41108553566826,1.00000891391792
"mu[78]",-0.0783039664073275,2.81593511412842,1.31597878262798,1.00000992497514
"mu[79]",-0.0894691163375524,2.82090383604669,1.31209290945443,1.00000984471949
"mu[80]",0.246746326784124,2.89539782143627,1.62242308054231,0.999984020358743
"mu[81]",-0.246803562202392,4.36810517029748,2.06695761798297,0.999966812411037
"mu[82]",-0.341552481241757,4.58437378829286,2.10591357658587,0.999973789194041
"mu[83]",-0.240924472065497,4.38414753427669,2.0721797572718,0.999967663694187
"mu[84]",-0.292172400035481,4.35712395251899,2.03743885884016,0.999963262259071
"mu[85]",-0.276361623737384,4.49164802536985,2.09152768345601,0.999971127073738
"mu[86]",-0.511543194226744,4.83426032451247,2.13414514202005,0.999978525408885
"mu[87]",-0.535404309964661,4.49799619110378,1.99936993017577,0.999962491319659
"mu[88]",-0.00608831473595006,3.92941612859381,1.94670366024597,0.999971711322625
"mu[89]",0.116899327570692,3.6610468523742,1.87854296582549,0.999976990582674
"mu[90]",0.102288112356107,3.59452811772703,1.8349382279668,0.999980221750408
"mu[91]",0.118004269904277,3.64210841520632,1.86994272329142,0.999977687927479
"mu[92]",-0.770302263044209,4.10237051341674,1.66119824033201,0.999980840000247
"mu[93]",0.0409294670366728,3.60079194282313,1.80853397427096,0.999981587178084
"mu[94]",-0.584568543738986,4.74050033408317,2.06586228377724,0.999967037980964
"mu[95]",0.0644802927297501,3.59346341732821,1.81713421680503,0.999981205167335
"mu[96]",-2.78552710112005,1.59027546213746,-0.533465187381875,1.00002778907153
"mu[97]",-3.32904167208954,1.34845566165706,-1.06677947473003,0.999984316939604
"mu[98]",-2.77263422706738,1.66991342527608,-0.473359494500292,1.00003192862196
"mu[99]",-2.78342143805112,1.60919007317687,-0.515221341434405,1.00002910546312
