,,Final_reads,Sample_name,short_name,geno_assignment,pop
  , ,5245476,BOGR_W06_S57_T_Q_A.fastq,W06,not,W
  , ,5073108,BOGR_W07_S58_T_Q_A.fastq,W07,common,W
  , ,3387008,BOGR_W08_S59_T_Q_A.fastq,W08,common,W
  , ,3407928,BOGR_W09_S60_T_Q_A.fastq,W09,common,W
  , ,3790444,BOGR_W10_S61_T_Q_A.fastq,W10,common,W
  , ,3262252,BOGR_W11_S62_T_Q_A.fastq,W11,common,W
 , ,11419944,BOGR_W12_S63_T_Q_A.fastq,W12,not,W
  , ,3970892,BOGR_W13_S64_T_Q_A.fastq,W13,not,W
  , ,3923184,BOGR_W14_S65_T_Q_A.fastq,W14,common,W
  , ,4532808,BOGR_W15_S66_T_Q_A.fastq,W15,common,W
  , ,4403200,BOGR_W16_S67_T_Q_A.fastq,W16,not,W
 , ,15123068,BOGR_WR01_S1_T_Q_A.fastq,WR01,not,WR
 , ,19710784,BOGR_WR02_S2_T_Q_A.fastq,WR02,not,WR
 , ,16546192,BOGR_WR03_S3_T_Q_A.fastq,WR03,common,WR
 , ,20821368,BOGR_WR04_S4_T_Q_A.fastq,WR04,common,WR
 , ,17128724,BOGR_WR05_S5_T_Q_A.fastq,WR05,not,WR
 , ,10586848,BOGR_WR06_S6_T_Q_A.fastq,WR06,common,WR
  , ,7395596,BOGR_WR07_S7_T_Q_A.fastq,WR07,common,WR
 , ,11739692,BOGR_WR08_S8_T_Q_A.fastq,WR08,common,WR
  , ,9722756,BOGR_WR09_S9_T_Q_A.fastq,WR09,not,WR
 , ,18419484,BOGR_WR10_S10_T_Q_A.fastq,WR10,common,WR
 , ,21364732,BOGR_WR11_S11_T_Q_A.fastq,WR11,not,WR
  , ,8400396,BOGR_WR12_S12_T_Q_A.fastq,WR12,not,WR
  , ,3732484,BOGR_WR13_S13_T_Q_A.fastq,WR13,common,WR
  , ,6114344,BOGR_WR14_S14_T_Q_A.fastq,WR14,common,WR
  , ,5513296,BOGR_WR15_S15_T_Q_A.fastq,WR15,not,WR
  , ,6561012,BOGR_WR16_S16_T_Q_A.fastq,WR16,common,WR
 , ,17637208,BOGR_WR17_S17_T_Q_A.fastq,WR17,not,WR
