,region,pop,geno,trt,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,root_shoot,biomass_total
193,N. Colorado,SGS,6,ND - D,19.02666667,NA,NA,NA,0.1248,-6,NA,NA,-1.4,NA,NA,NA,NA
194,N. Colorado,SGS,7,ND - D,17.975,1.6,1.34,3.06,0.2802,15,0.03957,0.73921,5.3,1.4,-1.5,0.043,6.2802
195,N. Colorado,SGS,8,ND - D,16.78666667,0.89,0.01,0.77,-0.2784,3,-0.2075,-1.97143,13,0.25,1.5,0.034,1.3916
196,N. Colorado,SGS,9,ND - D,19.825,0.83,0.57,-0.79,-0.3737,2,-0.96667,-5.095,-5,2.12,1.11,0.599,0.2363
197,N. Colorado,SGS,10,ND - D,18.62222222,1.17,1.38,0.95,-0.4989,12,0.16111,3.3725,-9.6,2.63,2.67,0.347,3.0011
198,N. Colorado,SGS,11,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,66.8,NA,NA,NA,NA
199,N. Colorado,SGS,12,ND - D,18.68333333,NA,NA,NA,-0.0142,18,-0.05111,-0.38425,20,NA,NA,NA,NA
200,N. Colorado,SGS,13,ND - D,19.11666666,NA,NA,NA,0.2634,-21,-1.09692,-4.11428,-12.1,NA,NA,NA,NA
201,N. Colorado,SGS,14,ND - D,18.08333334,NA,NA,NA,-0.0955,12,0.13186,-0.70179,15.2,-0.75,-1.17,NA,NA
202,N. Colorado,SGS,15,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-50.7,NA,NA,NA,NA
203,N. Colorado,SGS,16,ND - D,21.285,-0.65,-0.38,-2.73,-0.6999,-7,NA,NA,-1.4,3.92,1.15,0.272,-4.4599
204,N. Colorado,SGS,17,ND - D,20.33333333,NA,NA,NA,0.2024,-14,-0.14,-6.04091,6,NA,NA,NA,NA
205,Boulder,ST,1,ND - D,18.4875,NA,NA,NA,0.2058,3,0.54167,2.71746,8.4,NA,NA,NA,NA
206,Boulder,ST,2,ND - D,14.7625,0.5,0.49,1.01,0.0446,0,NA,NA,8.2,-0.05,0,-0.616,2.0446
207,Boulder,ST,3,ND - D,18.08333333,0.21,0.49,-0.47,0.0625,1,0.52083,9.34921,15.1,1.2,1.1,0.45,0.2925
208,Boulder,ST,4,ND - D,18.91875,NA,NA,NA,0.0957,0,NA,NA,-25.7,NA,NA,NA,NA
209,Boulder,ST,5,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,36.7,NA,NA,NA,NA
210,Boulder,ST,6,ND - D,16.625,0.41,2.09,3.9,0.3976,8,-0.11111,-1.69667,11.4,-5,-2.5,0.107,6.7976
211,Boulder,ST,7,ND - D,20.8125,0.99,0.67,0.82,0.0928,3,-0.04047,0.98571,3.06,0,-2.2,0.242,2.5728
212,Boulder,ST,8,ND - D,16.37375,1.71,1.58,3.09,0.5333,12,0.54375,2.47556,9.9,-0.65,-0.5,0.314,6.9133
213,Boulder,ST,9,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,66.15,NA,NA,NA,NA
214,Boulder,ST,10,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,NA,NA
215,Boulder,ST,11,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-47.57,NA,NA,NA,NA
216,Boulder,ST,12,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-40.5,NA,NA,NA,NA
217,Boulder,ST,13,ND - D,19.4,NA,NA,NA,NA,-3,NA,NA,-40.49,NA,NA,NA,NA
218,Boulder,ST,14,ND - D,22.01785714,NA,NA,NA,-0.1293,1,0.03141,-10.7,10.6,NA,NA,NA,NA
219,Boulder,ST,15,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,67.36,NA,NA,NA,NA
220,Boulder,ST,16,ND - D,19.68666667,NA,NA,NA,0.1031,2,0.51587,-3.6775,2.9,2.8,2.3,NA,NA
221,Boulder,ST,17,ND - D,16.45,-0.29,-0.23,-1.6,-0.0029,-2,NA,NA,-37.81,1.25,1.45,1.32,-2.1229
222,Boulder,W,1,ND - D,14.43125,2.35,1.81,3.28,0.2719,11,NA,NA,20,-6,-1.35,0.372,7.7119
223,Boulder,W,2,ND - D,20.3375,NA,NA,NA,NA,2,NA,NA,46.7,NA,NA,NA,NA
224,Boulder,W,3,ND - D,19.49875,0.33,-1.29,-0.04,0.0532,-1,0.49697,5.42692,27.2,-0.5,-0.6,-0.229,-0.9468
225,Boulder,W,4,ND - D,17.98375,1.23,0.96,2.01,0.2604,15,-0.09412,7.93509,28.1,NA,NA,0.165,4.4604
226,Boulder,W,5,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-48.3,NA,NA,NA,NA
227,Boulder,W,6,ND - D,16.86,1.55,0.32,2.47,-0.0733,7,-0.35,-10.99,8.7,-2.05,-5.3,-0.109,4.2667
228,Boulder,W,7,ND - D,19.41428571,0.23,-0.27,0.55,0.1829,5,-0.48096,-12.10179,8.3,NA,NA,-0.141,0.6929
229,Boulder,W,8,ND - D,16.85,NA,NA,NA,NA,5,NA,NA,57.9,NA,NA,NA,NA
230,Boulder,W,9,ND - D,17.3625,0.74,0.4,1.85,0.0562,6,NA,NA,5.6,-2.7,-3.95,-0.101,3.0462
231,Boulder,W,10,ND - D,17.85833333,1.24,1.37,1.43,0.1156,5,-0.1869,8.5627,19.3,2.5,0.65,0.324,4.1556
232,Boulder,W,11,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-43.4,NA,NA,NA,NA
233,Boulder,W,12,ND - D,19.69,0.25,-0.1,-0.04,-0.0947,3,-0.09444,-17.64026,6.7,4.6,4.1,0.05,0.0153
234,Boulder,W,13,ND - D,20.71607143,NA,NA,NA,-0.1832,-12,NA,NA,-3.16,NA,NA,NA,NA
235,Boulder,W,14,ND - D,14.855,1.8,2.05,3.23,0.3448,20,NA,NA,16.7,-4.6,-2.3,0.247,7.4248
236,Boulder,W,15,ND - D,21.83392857,NA,NA,NA,-0.1474,-16,0.01616,-3.27852,-1.5,NA,NA,NA,NA
237,Boulder,W,16,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,58.9,NA,NA,NA,NA
238,Boulder,W,17,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Boulder,WR,1,ND - D,19.13125,NA,NA,NA,0.0836,-2,0.115,1.535,5.2,NA,NA,NA,NA
240,Boulder,WR,2,ND - D,15.63928571,-0.44,-0.52,-0.66,-0.03,0,NA,NA,-32.9,NA,NA,-0.348,-1.65
241,Boulder,WR,3,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA
242,Boulder,WR,4,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-45.4,NA,NA,NA,NA
243,Boulder,WR,5,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,48.7,NA,NA,NA,NA
244,Boulder,WR,6,ND - D,19.89861111,0.51,-0.48,1.43,-0.0643,3,-0.30455,-0.51071,13.335,6.05,1.35,-0.243,1.3957
245,Boulder,WR,7,ND - D,17.45571429,1.58,-0.44,0.33,-0.1756,-13,0.25568,1.38525,8.525,0,1.35,0.198,1.2944
246,Boulder,WR,8,ND - D,18.11111111,NA,NA,NA,NA,-4,NA,NA,-59.075,NA,NA,NA,NA
247,Boulder,WR,9,ND - D,18.51833333,NA,NA,NA,-0.183,-15,-0.46111,0.17632,20.9,NA,NA,NA,NA
248,Boulder,WR,10,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-41.5,NA,NA,NA,NA
249,Boulder,WR,11,ND - D,16.20625,1.17,0.65,1.77,0.0508,7,-0.13419,2.88466,9.1,0,0.5,0.218,3.6408
250,Boulder,WR,12,ND - D,18.31875,0.12,0.25,1.24,0.0859,4,-0.39095,0.85017,3.3,0.05,0.25,-0.094,1.6959
251,Boulder,WR,13,ND - D,12.975,NA,NA,NA,NA,0,NA,NA,51.15,NA,NA,NA,NA
252,Boulder,WR,14,ND - D,18.26,0.35,-0.28,0.62,-0.0709,-13,0.2227,-2.02857,7.1,1.55,1.55,-0.068,0.6191
253,Boulder,WR,15,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA
254,Boulder,WR,16,ND - D,16.775,5.74,1.83,5.4,0.7287,39,0.02075,-8.42316,13.9,-0.6,-0.55,0.409,13.6987
255,Boulder,WR,17,ND - D,16.73666667,1.52,0.49,2.15,-0.073,8,-0.52895,-3.18809,17,1.7,-0.4,0.115,4.087
