,region,pop,geno,trt,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,root_shoot,biomass_total
47,Boulder,BT,13,ND - D,20.64285714,0.66,0.36,0.36,-0.0216,1,0.46096,0.62721,-3.085,1.9,4.8,0.189,1.3584
48,Boulder,BT,14,ND - D,15.33333333,0.4,0.45,0.66,-0.05,0,NA,NA,-3.2,1.55,4.55,0.245,1.46
49,Boulder,BT,15,ND - D,20.49464286,NA,NA,NA,0.1244,6,-0.13777,9.50374,-3.355,NA,NA,NA,NA
50,Boulder,BT,16,ND - D,16.775,NA,NA,NA,0.0732,7,0.13333,12.00333,-1.1,NA,NA,NA,NA
51,Boulder,BT,17,ND - D,19.88333333,0.85,0.39,0.69,0.0853,5,0.13175,5.41091,13.6,NA,NA,0.158,2.0153
52,New Mexico,CIB,1,ND - D,18.41,2.5,1.87,5.8,1.0212,12,0.40417,1.36538,9.4,NA,NA,0.168,11.1912
53,New Mexico,CIB,2,ND - D,16.7375,1.4,0.78,4.03,0.4684,24,0.61538,5.45714,3.6,NA,NA,-0.065,6.6784
54,New Mexico,CIB,3,ND - D,18.72125,2.07,0.12,2.12,-0.2671,1,0.52679,-2.86778,6.3,NA,NA,0.225,4.0429
55,New Mexico,CIB,4,ND - D,18.70892857,1.91,0.85,3.11,0.0835,6,0.43297,2.36222,15.3,NA,NA,0.195,5.9535
56,New Mexico,CIB,5,ND - D,19.46666666,0.64,0.01,2.56,-0.5784,5,-0.25714,-1.84372,-4.1,-0.67,0.64,-0.1,2.6316
57,New Mexico,CIB,6,ND - D,19.26666667,NA,NA,NA,0.2922,3,-0.14286,-3.83,6.5,4.99,3.39,NA,NA
58,New Mexico,CIB,7,ND - D,18.7875,NA,NA,NA,0.5523,3,0.61705,2.41538,9.4,2.4,3.27,NA,NA
59,New Mexico,CIB,8,ND - D,17.99666667,2.9,1.03,5.48,-0.1081,14,0.06475,4.66428,8.2,-0.08,-1.21,-0.009,9.3019
60,New Mexico,CIB,9,ND - D,19.81,0.65,0.59,1.6,-0.2305,-4,0.48571,-3.43333,16.9,0.85,-0.99,0.053,2.6095
61,New Mexico,CIB,10,ND - D,18.42142857,3.55,1.43,0.98,0.3488,6,0.24885,2.00455,2.9,NA,NA,0.693,6.3088
62,New Mexico,CIB,11,ND - D,19.04166666,NA,NA,NA,0.0019,5,-0.08214,0.0375,23.6,NA,NA,NA,NA
63,New Mexico,CIB,12,ND - D,18.78095238,0.65,-0.49,0.82,-0.0431,-2,0.13651,1.43738,8.4,NA,NA,-0.074,0.9369
64,New Mexico,CIB,13,ND - D,19.78571429,1.68,0.88,4.49,1.4912,-1,1.05965,2.95857,12.1,NA,NA,-0.018,8.5412
65,New Mexico,CIB,14,ND - D,18.5125,NA,NA,NA,0.3013,14,-0.01475,-1.66786,-0.4,NA,NA,NA,NA
66,New Mexico,CIB,15,ND - D,18.55238096,-0.43,-0.3,-4.5,-0.814,-5,-0.57917,-7.23,0.6,NA,NA,0.335,-6.044
67,New Mexico,CIB,16,ND - D,18.49333333,2.11,0.68,2.53,0.6812,4,-0.06242,-0.32986,7.7,NA,NA,0.202,6.0012
68,New Mexico,CIB,17,ND - D,18.75416667,2.09,-0.59,2.71,0.1136,10,-0.42017,-0.63816,17.1,NA,NA,-0.007,4.3236
69,S. Colorado,CO,1,ND - D,13.825,NA,NA,NA,NA,21,NA,NA,79.495,NA,NA,NA,NA
70,S. Colorado,CO,2,ND - D,16.46714286,1.3,0.13,0.34,-0.0377,1,NA,NA,0.5,0.49,-0.32,0.566,1.7323
71,S. Colorado,CO,3,ND - D,18.3125,NA,NA,NA,NA,-8,NA,NA,-57.2,NA,NA,NA,NA
72,S. Colorado,CO,4,ND - D,19.0125,-1.47,-0.24,-2.43,-0.5621,-3,NA,NA,-17.5,4.4,1.93,0.05,-4.7021
73,S. Colorado,CO,5,ND - D,17.08875,NA,NA,NA,0.307,10,0.33125,9.18194,-1.8,0.9,0.8,NA,NA
74,S. Colorado,CO,6,ND - D,18.67,2.81,2.17,3.16,-0.3905,21,0.04444,1.40733,10.5,1.03,0.95,0.306,7.7495
75,S. Colorado,CO,7,ND - D,17.43333334,2.92,0.62,3.7,0.1132,9,0.22834,3.10203,14.6,-2.03,-2.11,0.088,7.3532
76,S. Colorado,CO,8,ND - D,18.81,NA,NA,NA,-0.043,-8,-0.03096,1.99286,4.1,NA,NA,NA,NA
77,S. Colorado,CO,9,ND - D,20.39,NA,NA,NA,0.3194,2,-0.63333,-4.25238,2.3,NA,NA,NA,NA
78,S. Colorado,CO,10,ND - D,18.85892857,NA,NA,NA,0.0403,2,0.29122,-3.57018,32.05,2.24,0.99,NA,NA
79,S. Colorado,CO,11,ND - D,18.38333333,NA,NA,NA,0.189,6,-0.16667,-6.275,16.6,NA,NA,NA,NA
80,S. Colorado,CO,12,ND - D,17.99333333,NA,NA,NA,0.3699,20,-0.22658,1.07976,15.97,-1.22,-0.45,NA,NA
81,S. Colorado,CO,13,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,-5.8,NA,NA,NA,NA
82,S. Colorado,CO,14,ND - D,17.04,2.83,1.37,2.24,-0.3501,8,NA,NA,-15,0.53,0.35,0.446,6.0899
83,S. Colorado,CO,15,ND - D,17.90833333,NA,NA,NA,0.8962,-3,0.75556,-2.45325,16.8,NA,NA,NA,NA
84,S. Colorado,CO,16,ND - D,19.04166667,1.96,0.6,3.54,0.3344,2,0.11587,0.53,21.5,-0.33,-0.19,-0.098,6.4344
85,S. Colorado,CO,17,ND - D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
86,Boulder,DM,1,ND - D,17.47666667,0.47,0.64,0.77,0.0545,6,-0.2125,-2.57778,-1.9,-0.45,0.25,0.396,1.9345
87,Boulder,DM,2,ND - D,20.44666667,NA,NA,NA,-0.2411,-13,NA,NA,5.3,NA,NA,NA,NA
88,Boulder,DM,3,ND - D,15.02,NA,NA,NA,NA,1,NA,NA,0.645,NA,NA,NA,NA
89,Boulder,DM,4,ND - D,22.2625,0.3,0.01,-1.15,-0.1089,-4,-0.1625,-1.05143,2.2,2.3,1,0.386,-0.9489
90,Boulder,DM,5,ND - D,18.15178571,0.5,0.69,0.2,0.0658,5,0.275,5.81111,10.6,1.9,2.85,0.385,1.4558
91,Boulder,DM,6,ND - D,16.06571429,NA,NA,NA,NA,2,NA,NA,30.8,NA,NA,NA,NA
92,Boulder,DM,7,ND - D,19.7125,0.02,0.03,0.71,0.0511,-2,0.5,-0.12,2.64,NA,NA,-0.127,0.8111
93,Boulder,DM,8,ND - D,20.28125,0.56,0.07,-1.05,-0.2208,-3,-0.095,3.60556,-7.3,NA,NA,0.455,-0.6408
94,Boulder,DM,9,ND - D,16.9,1.23,0.77,-0.03,-0.0472,0,NA,NA,8.26,NA,NA,0.708,1.9228
95,Boulder,DM,10,ND - D,20.075,0.81,0.8,1.02,-0.1214,-9,0.96364,-7.07692,10.3,0.8,0.5,0.2,2.5086
96,Boulder,DM,11,ND - D,19.0375,NA,NA,NA,0.1195,4,-0.17917,2.80571,4.67,NA,NA,NA,NA
97,Boulder,DM,12,ND - D,19.45833333,0.23,-0.3,0.11,-0.0619,0,NA,NA,5.8,1.15,1.05,-0.055,-0.0219
