pot,region,pop,geno,lab,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_final,flwr_mass_1.2,flwr_mass_4,flwr_mass_lifetime,did_flwr,flwr_count_1.2,flwr_len_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,ht.91-130,ht.80-90,ht.70-79,ht.49-69,ht.38-48,ht.30-37,ht.20-29,ht.10-19,ht.1-9,avg_predawn_mpa_expt,avg_midday_mpa_expt,avg_predawn_mpa_drydown,avg_midday_mpa_drydown,roottoshoot,biomass_total
11,Boulder,A,11,A11,16.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,6.2,NA,NA,NA,NA,NA,6.4,6.4,6.4,4.6,NA,NA,NA,NA,NA,NA
12,Boulder,A,12,A12,21.40222222,0.23,0.24,0.43,0.0299,-0.0046,-0.0504,-0.0251,0,0,-1.7,-0.85,-2.23333,4.1,4.2833,6.9,4.2,1.7825,NA,-9.2666,-8.65,-7.4333,-0.1,0.95,0.05,NA,NA,0.114461426,2.3578
13,Boulder,A,13,A13,21.615,NA,NA,NA,NA,-0.0098,0.0569,0.0471,0,-3,-5.6,2.05,6.68333,28,21.8166,7,-0.3,0.1675,NA,-1.6,0.9,0.4333,-0.5,NA,NA,NA,NA,NA,NA
14,Boulder,A,14,A14,22.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,-2.1,NA,NA,NA,NA,NA,-2.1,-2.1,-2.1,-0.5334,NA,NA,NA,NA,NA,NA
15,Boulder,A,15,A15,22.89,NA,NA,NA,NA,-0.0086,0,-0.0086,0,0,2.4,0.3,-1.22,5.5,5.55,1.3,5,7.245,NA,5.7667,3.1,0.7333,-0.1333,NA,NA,NA,NA,NA,NA
16,Boulder,A,16,A16,20.48333333,NA,NA,NA,NA,NA,NA,NA,1,8,26.6,NA,NA,51.5,NA,NA,NA,NA,NA,30.7667,18.25,11.3667,2.8,NA,NA,NA,NA,NA,NA
17,Boulder,A,17,A17,22.38333333,NA,NA,NA,NA,NA,NA,NA,1,1,3.5,NA,NA,54.9,NA,NA,NA,NA,NA,5.1,-0.65,-1.1667,0.1,NA,NA,NA,NA,NA,NA
35,Boulder,K,1,K01,21.36875,0.61,0.04,1.36,0,0.2621,0,0.2621,0,20,55.4,-0.77355,5.78621,2,3.5834,4.8,3.3,2.155,NA,0.9,-0.4,-0.4,1.9,-0.5,0,0.65,0.5,-0.419117354,5.4738
36,Boulder,K,2,K02,21.66428571,0.55,0.85,1.17,0.0767,0.0567,0.0767,0.2101,0,4,14.4,0.09697,2.49519,1.2,0.75,0.1,1,0.735,NA,1.6333,-2.3,-2.5667,-0.15,0.6,3.2,0.3,0.35,0.057530977,4.0727
37,Boulder,K,3,K03,18.8875,0.99,0.73,0.51,-0.0192,0.128,-0.0192,0.0896,0,11,25.9,-0.14127,2.1025,4.5,4.4833,5,3.4,10.7225,NA,3.3,5.55,2.4333,0.5,-1.8,-4.45,NA,NA,0.354452456,5.1095
38,Boulder,K,4,K04,22.42678571,-0.27,0.28,-1.66,-0.0146,-0.1188,-0.0146,-0.148,0,-12,-29.9,0.86429,4.63125,3.5,0.8833,6.4,2,1.785,NA,3.4,3.95,1.3667,-2.35,2,1.75,0.05,0.05,1.166681796,5.2485
