pot,region,pop,trt,geno,lab,alt_lab1,alt_lab2,group,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,
334,Boulder,RM,D,11,RM11,RM11D,DRM11,19,NA,no pot,no pot,no pot,NA,NA,NA,NA,5,NA,NA,7
335,Boulder,RM,D,12,RM12,RM12D,DRM12,19,NA,no pot,no pot,no pot,NA,NA,NA,NA,7.9,NA,NA,7
336,Boulder,RM,D,13,RM13,RM13D,DRM13,19,9.594444444,1.26,tr,tr,0.0536,2,4.25,13.4,49.6,NA,NA,2
337,Boulder,RM,D,14,RM14,RM14D,DRM14,19,7.588888889,1.43,2.01,2.82,0.1782,13,2.46154,13.75333,69.6,-5,-3.1,0
338,Boulder,RM,D,15,RM15,RM15D,DRM15,19,8.158333333,0.69,1.42,2.39,0.153,8,3.9125,12.74,64.5,-3.4,-2.15,0
339,Boulder,RM,D,16,RM16,RM16D,DRM16,19,7.3,1.49,1.64,2.63,0.21,11,3.26364,12.75385,55.88,-1.5,-2.7,0
340,Boulder,RM,D,17,RM17,RM17D,DRM17,19,7.74,1.1,1.57,2.39,0.2659,18,3.1,13.83684,54.61,-2.65,-2.65,0
341,N. Colorado,SGS,ND,1,SGS01,SGS1ND,NDSGS1,24,27.27,NA,NA,NA,0.301,11,2.91818,7.01667,57.5,NA,NA,5
342,N. Colorado,SGS,ND,2,SGS02,SGS2ND,NDSGS2,24,26.81,0.21,0.79,0.6,0.1434,0,NA,NA,44.4,-0.73,-1.58,2
343,N. Colorado,SGS,ND,3,SGS03,SGS3ND,NDSGS3,24,26.82,NA,NA,NA,0.3898,27,2.72222,11.43793,68,NA,NA,5
344,N. Colorado,SGS,ND,4,SGS04,SGS4ND,NDSGS4,24,27.75,0.16,0.61,0.83,0.2374,0,NA,NA,61.9,-0.6,-1.4,2
345,N. Colorado,SGS,ND,5,SGS05,SGS5ND,NDSGS5,24,26.86,2.97,3.08,5.15,0.2994,15,3.74,8.025,72.1,-2.89,-3.39,0
346,N. Colorado,SGS,ND,6,SGS06,SGS6ND,NDSGS6,24,29.21,0.69,0.85,1.23,0.1636,0,NA,NA,57,NA,NA,4
347,N. Colorado,SGS,ND,7,SGS07,SGS7ND,NDSGS7,24,24.7,3.15,3.61,7.53,0.4268,30,2.5129,10.23333,60.6,-3.25,-5.05,0
348,N. Colorado,SGS,ND,8,SGS08,SGS8ND,NDSGS8,24,25.96666667,2.62,2.53,5.33,0.4763,8,2.7125,7.1,74.2,-2.6,-3.03,0
349,N. Colorado,SGS,ND,9,SGS09,SGS9ND,NDSGS9,24,29.2,1.91,1.67,3.08,0.5093,6,2.33333,6.825,58.5,-2.9,-2.72,0
350,N. Colorado,SGS,ND,10,SGS10,SGS10ND,NDSGS10,24,27.1,2.82,3.17,5.04,0.1986,18,3.19444,10.085,54.3,-1.02,-2.33,0
351,N. Colorado,SGS,ND,11,SGS11,SGS11ND,NDSGS11,24,28.68333333,0.41,0.44,1.32,0.4074,0,NA,NA,71.9,NA,NA,4
352,N. Colorado,SGS,ND,12,SGS12,SGS12ND,NDSGS12,24,26.675,NA,NA,NA,0.4491,31,2.92581,11.94242,74.3,NA,NA,5
353,N. Colorado,SGS,ND,13,SGS13,SGS13ND,NDSGS13,24,26.68333333,1.07,1.33,2.65,0.4547,5,2.08,6.07143,53.5,NA,NA,2
354,N. Colorado,SGS,ND,14,SGS14,SGS14ND,NDSGS14,24,25.61666667,NA,NA,NA,0.3989,26,3.29615,13.66071,78.4,-1.13,-2,3
355,N. Colorado,SGS,ND,15,SGS15,SGS15ND,NDSGS15,24,NA,no pot,no pot,no pot,NA,NA,NA,NA,6.5,NA,NA,7
356,N. Colorado,SGS,ND,16,SGS16,SGS16ND,NDSGS16,24,29.61,0.46,0.95,1.72,0.3468,0,NA,NA,64.8,-0.54,-2.15,2
357,N. Colorado,SGS,ND,17,SGS17,SGS17ND,NDSGS17,24,27.7,2.89,1.76,4.68,0.4916,6,3.15,9.05,68.4,NA,NA,2
358,N. Colorado,SGS,D,1,SGS01,SGS1D,DSGS1,23,7.975,NA,NA,NA,0.3302,13,2.61538,10.86667,52.4,NA,NA,5
359,N. Colorado,SGS,D,2,SGS02,SGS2D,DSGS2,23,8.78125,1.26,1.94,4.73,1.9286,14,3.22857,14.4875,57.15,-6.23,-3.75,0
360,N. Colorado,SGS,D,3,SGS03,SGS3D,DSGS3,23,7.408333333,NA,NA,NA,0.2498,19,2.20526,10.6,67.4,NA,NA,5
361,N. Colorado,SGS,D,4,SGS04,SGS4D,DSGS4,23,8.15,1.65,1.7,4.37,1.147,14,3.9,11.525,82.55,-3.7,-2.7,0
362,N. Colorado,SGS,D,5,SGS05,SGS5D,DSGS5,23,9.008333333,0.74,0.89,4.55,0.6397,4,4.2,11.16,85.2,-1.26,-2.36,0
363,N. Colorado,SGS,D,6,SGS06,SGS6D,DSGS6,23,10.18333333,tr,tr,tr,0.0388,6,2.48333,6.5875,58.4,NA,NA,2
364,N. Colorado,SGS,D,7,SGS07,SGS7D,DSGS7,23,6.725,1.55,2.27,4.47,0.1466,15,2.47333,9.49412,55.3,-4.65,-3.55,0
365,N. Colorado,SGS,D,8,SGS08,SGS8D,DSGS8,23,9.18,1.73,2.52,4.56,0.7547,5,2.92,9.07143,61.2,-2.85,-4.53,0
366,N. Colorado,SGS,D,9,SGS09,SGS9D,DSGS9,23,9.375,1.08,1.1,3.87,0.883,4,3.3,11.92,63.5,-5.02,-3.83,0
367,N. Colorado,SGS,D,10,SGS10,SGS10D,DSGS10,23,8.477777778,1.65,1.79,4.09,0.6975,6,3.03333,6.7125,63.9,-3.65,-5,0
368,N. Colorado,SGS,D,11,SGS11,SGS11D,DSGS11,23,NA,no pot,no pot,no pot,NA,NA,NA,NA,5.1,NA,NA,7
369,N. Colorado,SGS,D,12,SGS12,SGS12D,DSGS12,23,7.991666667,NA,NA,NA,0.4633,13,2.97692,12.32667,54.3,NA,NA,5
370,N. Colorado,SGS,D,13,SGS13,SGS13D,DSGS13,23,7.566666667,tr,tr,tr,0.1913,26,3.17692,10.18571,65.6,-3.73,-4.4,0
371,N. Colorado,SGS,D,14,SGS14,SGS14D,DSGS14,23,7.533333333,NA,NA,NA,0.4944,14,3.16429,14.3625,63.2,-0.38,-0.83,3
372,N. Colorado,SGS,D,15,SGS15,SGS15D,DSGS15,23,7.6125,tr,tr,tr,0,0,NA,NA,57.2,-10,-9.5,2
373,N. Colorado,SGS,D,16,SGS16,SGS16D,DSGS16,23,8.325,1.11,1.33,4.45,1.0467,7,3.11429,14.675,66.2,-4.46,-3.3,0
374,N. Colorado,SGS,D,17,SGS17,SGS17D,DSGS17,23,7.366666667,tr,tr,tr,0.2892,20,3.29,15.09091,62.4,NA,NA,2
375,S. Colorado,CO,ND,1,CO01,CO1ND,NDCO1,10,25.1,5.2,3.16,8.38,0.8484,21,3.5,10.43913,81.4,NA,NA,2
376,S. Colorado,CO,ND,2,CO02,CO2ND,NDCO2,10,27.56,1.95,0.75,2.09,0.3181,1,2.5,13.25,62.8,-0.46,-1.98,0
377,S. Colorado,CO,ND,3,CO03,CO3ND,NDCO3,10,27.725,NA,NA,NA,NA,0,NA,NA,7.8,NA,NA,8
378,S. Colorado,CO,ND,4,CO04,CO4ND,NDCO4,10,28.3125,0.26,0.57,1.07,0.1186,0,NA,NA,57,-0.6,-1.64,2
379,S. Colorado,CO,ND,5,CO05,CO5ND,NDCO5,10,26.97,NA,NA,NA,0.6064,16,3.73125,17.34444,79.5,-2.22,-2.25,3
380,S. Colorado,CO,ND,6,CO06,CO6ND,NDCO6,10,27.62,5.23,3.48,7.6,0.4722,27,2.44444,6.34483,75.7,-2.72,-2.83,0
381,S. Colorado,CO,ND,7,CO07,CO7ND,NDCO7,10,24.51666667,4.55,2.12,7.75,0.3661,24,2.94167,10.99615,79.1,-3.68,-4.46,0
382,S. Colorado,CO,ND,8,CO08,CO8ND,NDCO8,10,25.91,2.39,1.49,3.7,0.0747,6,2.68333,10.14286,59,NA,NA,2
383,S. Colorado,CO,ND,9,CO09,CO9ND,NDCO9,10,27.98,1.6,1.19,2.38,0.3651,6,3.11667,4.71429,54.5,NA,NA,2
384,S. Colorado,CO,ND,10,CO10,CO10ND,NDCO10,10,26.5375,NA,NA,NA,0.3116,21,2.83333,5.88696,76.5,-0.4,-1.54,3
385,S. Colorado,CO,ND,11,CO11,CO11ND,NDCO11,10,27.25,3.57,1.65,3.98,0.2412,9,3.13333,7.1,77.2,NA,NA,2
386,S. Colorado,CO,ND,12,CO12,CO12ND,NDCO12,10,25.66,NA,NA,NA,0.5449,39,2.51026,10.675,65.5,-1.55,-2.2,3
387,S. Colorado,CO,ND,13,CO13,CO13ND,NDCO13,10,NA,no pot,no pot,no pot,NA,NA,NA,NA,54.3,NA,NA,7
388,S. Colorado,CO,ND,14,CO14,CO14ND,NDCO14,10,27.05,4.32,2.36,5.19,0.2005,8,3.7,8.7,60,-1.35,-2.03,0
389,S. Colorado,CO,ND,15,CO15,CO15ND,NDCO15,10,26.125,2.67,2.2,6.76,1.0388,9,4.25556,9.21818,75.3,NA,NA,2
390,S. Colorado,CO,ND,16,CO16,CO16ND,NDCO16,10,26.7,3.38,2.54,7.19,0.8847,9,2.34444,9.03,73.5,-2.57,-2.75,0
391,S. Colorado,CO,ND,17,CO17,CO17ND,NDCO17,10,NA,no pot,no pot,no pot,NA,NA,NA,NA,0,NA,NA,7
392,S. Colorado,CO,D,1,CO01,CO1D,DCO1,9,11.275,NA,NA,NA,NA,0,NA,NA,1.905,NA,NA,8
393,S. Colorado,CO,D,2,CO02,CO2D,DCO2,9,11.09285714,0.65,0.62,1.75,0.3558,0,NA,NA,62.3,-0.95,-1.66,2
394,S. Colorado,CO,D,3,CO03,CO3D,DCO3,9,9.4125,2.1,1.18,3.78,1.007,8,3.2125,10.34,65,NA,NA,2
395,S. Colorado,CO,D,4,CO04,CO4D,DCO4,9,9.3,1.73,0.81,3.5,0.6807,3,2.6,7.675,74.5,-5,-3.57,0
396,S. Colorado,CO,D,5,CO05,CO5D,DCO5,9,9.88125,NA,NA,NA,0.2994,6,3.4,8.1625,81.3,-3.12,-3.05,3
397,S. Colorado,CO,D,6,CO06,CO6D,DCO6,9,8.95,2.42,1.31,4.44,0.8627,6,2.4,4.9375,65.2,-3.75,-3.78,0
398,S. Colorado,CO,D,7,CO07,CO7D,DCO7,9,7.083333333,1.63,1.5,4.05,0.2529,15,2.71333,7.89412,64.5,-1.65,-2.35,0
399,S. Colorado,CO,D,8,CO08,CO8D,DCO8,9,7.1,tr,tr,tr,0.1177,14,2.71429,8.15,54.9,NA,NA,2
400,S. Colorado,CO,D,9,CO09,CO9D,DCO9,9,7.59,tr,tr,tr,0.0457,4,3.75,8.96667,52.2,NA,NA,2
401,S. Colorado,CO,D,10,CO10,CO10D,DCO10,9,7.678571429,NA,NA,NA,0.2713,19,2.54211,9.45714,44.45,-2.64,-2.53,3
402,S. Colorado,CO,D,11,CO11,CO11D,DCO11,9,8.866666667,tr,tr,tr,0.0522,3,3.3,13.375,60.6,NA,NA,2
403,S. Colorado,CO,D,12,CO12,CO12D,DCO12,9,7.666666667,NA,NA,NA,0.175,19,2.73684,9.59524,49.53,-0.33,-1.75,3
404,S. Colorado,CO,D,13,CO13,CO13D,DCO13,9,7.35,1.57,1.43,3.38,0.5303,9,2.58889,10.90909,60.1,NA,NA,2
405,S. Colorado,CO,D,14,CO14,CO14D,DCO14,9,10.01,1.49,0.99,2.95,0.5506,0,NA,NA,75,-1.88,-2.38,2
406,S. Colorado,CO,D,15,CO15,CO15D,DCO15,9,8.216666667,tr,tr,tr,0.1426,12,3.5,11.67143,58.5,NA,NA,2
407,S. Colorado,CO,D,16,CO16,CO16D,DCO16,9,7.658333333,1.42,1.94,3.65,0.5503,7,2.22857,8.5,52,-2.24,-2.56,0
408,S. Colorado,CO,D,17,CO17,CO17D,DCO17,9,NA,no pot,no pot,no pot,0.0056,2,2.4,2,0,NA,NA,3
409,S. Dakota,BG,ND,1,BG01,BG1ND,NDBG1,4,25.075,NA,NA,NA,0.5119,10,1.53,9.825,52.5,-2.68,-3.33,3
410,S. Dakota,BG,ND,2,BG02,BG2ND,NDBG2,4,25.8875,2.11,1.37,4.21,1.1796,9,1.71111,12.26364,71.4,NA,NA,2
411,S. Dakota,BG,ND,3,BG03,BG3ND,NDBG3,4,28.4,1.49,1.79,2.79,0.6225,3,2.13333,7.86,56.9,-1.3,-2.45,0
412,S. Dakota,BG,ND,4,BG04,BG4ND,NDBG4,4,27.66,0.58,2.85,4.89,0.0459,11,1.34545,5.15385,42.2,NA,NA,2
413,S. Dakota,BG,ND,5,BG05,BG5ND,NDBG5,4,27.78333333,0.71,0.47,1.58,0.4822,1,2.3,4.4,51,-1.08,-1.87,0
414,S. Dakota,BG,ND,6,BG06,BG6ND,NDBG6,4,26.5625,NA,NA,NA,0.2522,19,2.08947,8.17143,50,-0.68,-0.93,3
415,S. Dakota,BG,ND,7,BG07,BG7ND,NDBG7,4,NA,no pot,no pot,no pot,NA,NA,NA,NA,0,NA,NA,7
416,S. Dakota,BG,ND,8,BG08,BG8ND,NDBG8,4,26.9875,1.75,2.06,3.52,1.1467,6,2.73333,9.325,63.5,-2.8,-3.25,0
417,S. Dakota,BG,ND,9,BG09,BG9ND,NDBG9,4,NA,no pot,no pot,no pot,NA,NA,NA,NA,0,NA,NA,7
418,S. Dakota,BG,ND,10,BG10,BG10ND,NDBG10,4,26.55,NA,NA,NA,0.271,20,2.43,10.77727,49.8,-1.3,-2.23,3
419,S. Dakota,BG,ND,11,BG11,BG11ND,NDBG11,4,27.6375,1.12,1.12,2.49,0.9394,0,NA,NA,63.7,NA,NA,4
420,S. Dakota,BG,ND,12,BG12,BG12ND,NDBG12,4,28.4,NA,NA,NA,0.1347,8,2.25,6.89,43.4,-0.25,-2.25,3
421,S. Dakota,BG,ND,13,BG13,BG13ND,NDBG13,4,27.4375,2.17,1.86,3.75,0.0751,9,2.27778,9.89,43.3,NA,NA,2
422,S. Dakota,BG,ND,14,BG14,BG14ND,NDBG14,4,27.9125,NA,NA,NA,NA,0,NA,NA,6.8,NA,NA,8
423,S. Dakota,BG,ND,15,BG15,BG15ND,NDBG15,4,25.9875,2.56,1.91,4.76,0.0881,12,2.15385,6.05714,49.2,-2.42,-3.53,0
424,S. Dakota,BG,ND,16,BG16,BG16ND,NDBG16,4,23.95,no pot,no pot,no pot,NA,0,NA,NA,0,NA,NA,5
425,S. Dakota,BG,ND,17,BG17,BG17ND,NDBG17,4,23.825,2.73,1.71,3.59,0.0806,12,2.5,8.67857,56.1,NA,NA,2
426,S. Dakota,BG,D,1,BG01,BG1D,DBG1,3,9.216666667,NA,NA,NA,0.1541,3,1.9,5.58,47,-1.65,-2.75,3
427,S. Dakota,BG,D,2,BG02,BG2D,DBG2,3,10.1125,tr,tr,tr,0.0198,3,1.06667,5.475,49,NA,NA,2
428,S. Dakota,BG,D,3,BG03,BG3D,DBG3,3,8.864285714,1.46,1.76,4.12,1.1583,2,1.8,9.73333,51.2,-4.75,-4.55,0
429,S. Dakota,BG,D,4,BG04,BG4D,DBG4,3,8.86875,tr,tr,tr,0.0361,7,2.11429,8.725,53.4,NA,NA,2
430,S. Dakota,BG,D,5,BG05,BG5D,DBG5,3,8.771428571,1.3,1.61,3.2,0.2803,3,2.03333,6.26,38.5,-3.68,-4.18,0
431,S. Dakota,BG,D,6,BG06,BG6D,DBG6,3,11.06,NA,NA,NA,0.0296,2,2.15,12.23333,30,-0.45,-0.92,3
432,S. Dakota,BG,D,7,BG07,BG7D,DBG7,3,10.45714286,tr,tr,tr,0.0195,2,2.6,7.26667,46.5,NA,NA,2
433,S. Dakota,BG,D,8,BG08,BG8D,DBG8,3,10.43,1.02,1.07,2.49,1.0357,5,2.46,11.27143,51.9,-4.5,-5.5,0
434,S. Dakota,BG,D,9,BG09,BG9D,DBG9,3,11.43,0.45,0.68,1.27,0.3656,0,NA,NA,55,NA,NA,4
435,S. Dakota,BG,D,10,BG10,BG10D,DBG10,3,7.838888889,NA,NA,NA,0.1207,0,NA,NA,55.9,-2.08,-2.65,5
436,S. Dakota,BG,D,11,BG11,BG11D,DBG11,3,7.95,no pot,no pot,no pot,NA,0,NA,NA,0,NA,NA,5
437,S. Dakota,BG,D,12,BG12,BG12D,DBG12,3,7.94,NA,NA,NA,0.2818,9,2.81111,13.12,56,-0.3,-2.2,3
438,S. Dakota,BG,D,13,BG13,BG13D,DBG13,3,NA,no pot,no pot,no pot,NA,NA,NA,NA,0,NA,NA,7
439,S. Dakota,BG,D,14,BG14,BG14D,DBG14,3,NA,no pot,no pot,no pot,NA,NA,NA,NA,0,NA,NA,7
440,S. Dakota,BG,D,15,BG15,BG15D,DBG15,3,7.555555556,2.58,2.75,4.58,0.1038,17,2.27059,8.57368,50.8,-4.08,-4.85,0
441,S. Dakota,BG,D,16,BG16,BG16D,DBG16,3,NA,no pot,no pot,no pot,NA,NA,NA,NA,0,NA,NA,7
442,S. Dakota,BG,D,17,BG17,BG17D,DBG17,3,9.04,tr,tr,tr,0.0845,13,2.41538,7.65333,55.2,NA,NA,2
443,New Mexico,SEV,D,2,SEV02,SEV2D,DSEV2,21,9.575,tr,tr,tr,0.2837,12,4.08333,12.56429,72.7,NA,NA,2
444,New Mexico,SEV,ND,1,SEV01,SEV1ND,NDSEV1,22,27.3625,4.53,2.19,7.33,1.0886,16,4.20625,13.41111,84.2,NA,NA,2
445,New Mexico,SEV,D,3,SEV03,SEV3D,DSEV3,21,10.25,tr,tr,tr,0.0593,5,2.68,8.41429,64.6,-2.18,-1.92,0
446,New Mexico,SEV,D,12,SEV12,SEV12D,DSEV12,21,10.89166667,tr,tr,tr,0.0769,7,2.72857,9.3125,73.5,NA,NA,2
447,New Mexico,SEV,D,5,SEV05,SEV5D,DSEV5,21,9.166666667,1.42,1.11,5.36,0.0604,6,3.23333,8.62857,71,NA,NA,2
449,New Mexico,SEV,D,4,SEV04,SEV4D,DSEV4,21,9.09375,met,met,met,0.1111,8,2.5875,14.53,66.9,NA,NA,2
450,New Mexico,SEV,D,8,SEV08,SEV8D,DSEV8,21,9.358333333,1.45,1.23,5.58,0.4179,9,2.94444,5.33636,79.7,-7,-7,0
451,New Mexico,SEV,D,9,SEV09,SEV9D,DSEV9,21,9.341666667,1.55,1.79,6.29,0.432,8,3.0875,5.2,73.8,-6.5,-3.81,0
452,New Mexico,SEV,ND,4,SEV04,SEV4ND,NDSEV4,22,29.175,met,met,met,0.158,9,2.57778,11.72727,78,NA,NA,2
453,New Mexico,SEV,D,11,SEV11,SEV11D,DSEV11,21,9.621428571,tr,tr,tr,0.097,9,3.21111,9.01818,92.6,NA,NA,2
454,New Mexico,SEV,ND,6,SEV06,SEV6ND,NDSEV6,21,27.8,tr,tr,tr,0.0861,7,3.81429,9.71111,96.5,NA,NA,2
455,New Mexico,SEV,D,13,SEV13,SEV13D,DSEV13,21,11.01,1.66,1.92,4.85,0.8764,8,3.1875,7.93,58.3,NA,NA,2
456,New Mexico,SEV,D,10,SEV10,SEV10D,DSEV10,21,8.791666667,met,met,met,0.3433,8,4.2625,12.84,79.3,NA,NA,2
457,New Mexico,SEV,D,15,SEV15,SEV15D,DSEV15,21,9.17,1.98,1.52,5.99,0.1985,10,2.91,5.59167,88.8,-6.5,-4.97,0
458,New Mexico,SEV,D,16,SEV16,SEV16D,DSEV16,21,9.49,1.87,1.34,5.66,0.579,13,3.30769,4.60667,67.6,-5.85,-6.58,0
459,New Mexico,SEV,D,17,SEV17,SEV17D,DSEV17,21,9.775,1.96,1.27,4.7,0.1862,7,4.42857,14.5,87.2,-7,-5.67,0
460,New Mexico,SEV,ND,17,SEV17,SEV17ND,NDSEV17,22,27.3,1.99,1.2,5.33,0.6238,6,3.76667,13.075,92.8,-3.26,-3.65,0
461,New Mexico,SEV,D,1,SEV01,SEV1D,DSEV1,21,8.40625,1.39,1.42,4.08,0.6756,13,3.88462,10.02667,60.8,-3.52,-5.52,0
462,New Mexico,SEV,ND,2,SEV02,SEV2ND,NDSEV2,22,28.44,2.15,2.11,8.31,0.2393,12,3.55,8.22857,85.1,NA,NA,2
463,New Mexico,SEV,ND,3,SEV03,SEV3ND,NDSEV3,22,28.62,1.33,1.5,5.85,0.1313,3,2.9,12.15,85.2,NA,NA,2
464,New Mexico,SEV,ND,10,SEV10,SEV10ND,NDSEV10,21,27.9,met,met,met,0.2964,8,4.425,8.62,90.3,NA,NA,2
465,New Mexico,SEV,ND,5,SEV05,SEV5ND,NDSEV5,22,27.37,2.41,2.01,10.64,0.5651,30,2.95333,8.34063,80.6,NA,NA,2
466,New Mexico,SEV,D,6,SEV06,SEV6D,DSEV6,21,10.51666667,0.73,0.89,7,0.565,4,3.275,10.25,75.9,NA,NA,2
467,New Mexico,SEV,ND,7,SEV07,SEV7ND,NDSEV7,22,27.2,3.19,3.03,10.94,0.6369,11,3.37273,11.6,89.2,NA,NA,2
468,New Mexico,SEV,ND,8,SEV08,SEV8ND,NDSEV8,22,27.08,2.48,1.42,7.81,0.7361,9,3.2,4.23636,101.1,-4.5,-4.8,0
469,New Mexico,SEV,ND,9,SEV09,SEV9ND,NDSEV9,22,27.45,3.58,2.21,8.81,0.3621,17,3.37059,10.76316,93,-4.7,-5.06,0
470,New Mexico,SEV,ND,11,SEV11,SEV11ND,NDSEV11,22,28.025,4.82,2.38,11.66,0.8909,10,3.83,8.125,99.9,-8.8,-7,0
471,New Mexico,SEV,D,14,SEV14,SEV14D,DSEV14,21,9.483333333,met,met,met,0.2403,17,2.54118,7.92105,57.1,NA,NA,2
472,New Mexico,SEV,ND,12,SEV12,SEV12ND,NDSEV12,22,27.43333333,3.25,1.98,9.35,0.8723,11,3.31818,10.3,83,-10,-9.1,0
473,New Mexico,SEV,ND,13,SEV13,SEV13ND,NDSEV13,22,26.8125,2.8,1.76,5.47,0.3699,6,3.41667,7.88571,64.9,NA,NA,2
474,New Mexico,SEV,ND,14,SEV14,SEV14ND,NDSEV14,21,27.05,met,met,met,0.1738,13,2.54615,6.17333,75,NA,NA,2
475,New Mexico,SEV,ND,15,SEV15,SEV15ND,NDSEV15,22,26.6,1.57,1.71,6.69,0.1068,4,2.9,6.91667,93.8,-4.09,-4.52,0
476,New Mexico,SEV,ND,16,SEV16,SEV16ND,NDSEV16,22,29.7625,1.81,1.57,5.32,0.7299,6,3.9,8.7,79.3,-0.94,-1.91,0
477,New Mexico,CIB,ND,1,CI01,CIB1ND,NDCIB1,8,27.06,4.24,2.75,12.5,2.2383,24,5.0625,17.06538,75,NA,NA,2
478,New Mexico,CIB,ND,2,CI02,CIB2ND,NDCIB2,8,28.5875,2.99,2.24,8.53,1.2282,26,2.81538,8.55714,76.8,NA,NA,2
479,New Mexico,CIB,ND,3,CI03,CIB3ND,NDCIB3,8,28.99,2.76,0.97,5.81,0.5167,8,3.2125,5.11,79.8,-4.5,-4.39,0
480,New Mexico,CIB,ND,4,CI04,CIB4ND,NDCIB4,8,28.1375,3.09,1.57,8.3,0.6335,13,3.46154,7.34,93.2,-6.5,-5.86,0
481,New Mexico,CIB,ND,5,CI05,CIB5ND,NDCIB5,8,28.63333333,2.58,1.16,8,0.5926,21,2.14286,7.51739,67.2,-4.85,-3.98,0
482,New Mexico,CIB,ND,6,CI06,CIB6ND,NDCIB6,8,29.2,1.02,0.92,3.37,0.5813,7,3.05714,16.45,85.3,-0.81,-1.68,0
483,New Mexico,CIB,ND,7,CI07,CIB7ND,NDCIB7,8,28.5875,2.34,1.74,7.8,1.1669,11,4.15455,11.11538,72,-2.68,-2.55,0
484,New Mexico,CIB,ND,8,CI08,CIB8ND,NDCIB8,8,27.36666667,4.9,2.29,9.92,1.0832,26,2.87308,12.42857,65,-5.8,-7.82,0
485,New Mexico,CIB,ND,9,CI09,CIB9ND,NDCIB9,8,28.32,2.43,1.67,6.82,0.9866,7,4.68571,8.56667,85,-3.2,-4.99,0
486,New Mexico,CIB,ND,10,CI10,CIB10ND,NDCIB10,8,27.05,5.01,2.51,6.54,0.5579,26,3.90385,10.95,69.7,NA,NA,2
487,New Mexico,CIB,ND,11,CI11,CIB11ND,NDCIB11,8,27.83333333,3.45,1.82,6.16,0.2818,12,3.775,10.25,94.1,NA,NA,2
488,New Mexico,CIB,ND,12,CI12,CIB12ND,NDCIB12,8,28.76666667,2.62,0.87,5.57,0.8823,7,3.11429,7.95556,76,NA,NA,2
489,New Mexico,CIB,ND,13,CI13,CIB13ND,NDCIB13,8,28.2,3.3,2.27,9.43,1.6956,18,4.43333,12.63,83,NA,NA,2
490,New Mexico,CIB,ND,14,CI14,CIB14ND,NDCIB14,8,28.3,2.45,1.21,6.76,0.7279,26,2.37692,7.16071,69.5,NA,NA,2
491,New Mexico,CIB,ND,15,CI15,CIB15ND,NDCIB15,8,28.06666667,0.82,0.61,2.17,0.3108,3,3.93333,3.46,73.6,NA,NA,2
492,New Mexico,CIB,ND,16,CI16,CIB16ND,NDCIB16,8,27.78333333,3.37,1.76,9.71,1.5102,15,3.64667,11.74706,87.9,NA,NA,2
493,New Mexico,CIB,ND,17,CI17,CIB17ND,NDCIB17,8,27.56666667,3.84,0.97,8.48,0.9003,17,3.09412,12.13684,100.1,NA,NA,2
494,New Mexico,CIB,D,1,CI01,CIB1D,DCIB1,7,8.65,1.74,0.88,6.7,1.2171,12,4.65833,15.7,65.6,NA,NA,2
495,New Mexico,CIB,D,2,CI02,CIB2D,DCIB2,7,11.85,1.59,1.46,4.5,0.7598,2,2.2,3.1,73.2,NA,NA,2
496,New Mexico,CIB,D,3,CI03,CIB3D,DCIB3,7,10.26875,0.69,0.85,3.69,0.7838,7,2.68571,7.97778,73.5,NA,NA,2
497,New Mexico,CIB,D,4,CI04,CIB4D,DCIB4,7,9.428571429,1.18,0.72,5.19,0.55,7,3.02857,4.97778,77.9,NA,NA,2
498,New Mexico,CIB,D,5,CI05,CIB5D,DCIB5,7,9.166666667,1.94,1.15,5.44,1.171,16,2.4,9.36111,71.3,-4.18,-4.62,0
499,New Mexico,CIB,D,6,CI06,CIB6D,DCIB6,7,9.933333333,tr,tr,tr,0.2891,4,3.2,20.28,78.8,-5.8,-5.07,0
500,New Mexico,CIB,D,7,CI07,CIB7D,DCIB7,7,9.8,tr,tr,tr,0.6146,8,3.5375,8.7,62.6,-5.08,-5.82,0
501,New Mexico,CIB,D,8,CI08,CIB8D,DCIB8,7,9.37,2,1.26,4.44,1.1913,12,2.80833,7.76429,56.8,-5.72,-6.61,0
502,New Mexico,CIB,D,9,CI09,CIB9D,DCIB9,7,8.51,1.78,1.08,5.22,1.2171,11,4.2,12,68.1,-4.05,-4,0
503,New Mexico,CIB,D,10,CI10,CIB10D,DCIB10,7,8.628571429,1.46,1.08,5.56,0.2091,20,3.655,8.94545,66.8,NA,NA,2
504,New Mexico,CIB,D,11,CI11,CIB11D,DCIB11,7,8.791666667,tr,tr,tr,0.2799,7,3.85714,10.2125,70.5,NA,NA,2
505,New Mexico,CIB,D,12,CI12,CIB12D,DCIB12,7,9.985714286,1.97,1.36,4.75,0.9254,9,2.97778,6.51818,67.6,NA,NA,2
506,New Mexico,CIB,D,13,CI13,CIB13D,DCIB13,7,8.414285714,1.62,1.39,4.94,0.2044,19,3.37368,9.67143,70.9,NA,NA,2
507,New Mexico,CIB,D,14,CI14,CIB14D,DCIB14,7,9.7875,tr,tr,tr,0.4266,12,2.39167,8.82857,69.9,NA,NA,2
