pot,region,pop,trt,geno,lab,alt_lab1,alt_lab2,vwc_adj,group,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_final,flwr_mass_1.2,flwr_mass_4,flwr_mass_lifetime,did_flwr,flwr_color,flwr_count_1.2,flwr_len_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,ht.91-130,ht.80-90,ht.70-79,ht.49-69,ht.38-48,ht.30-37,ht.20-29,ht.10-19,ht.1-9,avg_predawn_mpa_expt,avg_midday_mpa_expt,avg_predawn_mpa_drydown,avg_midday_mpa_drydown
480,New Mexico,CIB,ND,4,CI04,CIB4ND,NDCIB4,28.1375,8,3.09,1.57,8.3,0.2643,0.1049,0.2643,0.6335,1,purple,13,45,3.46154,7.34,93.2,93.1667,86.8,86,86,NA,71.12,NA,NA,NA,-6.5,-5.86,-0.75,-0.75
481,New Mexico,CIB,ND,5,CI05,CIB5ND,NDCIB5,28.63333333,8,2.58,1.16,8,0.2251,0.1424,0.2251,0.5926,1,purple,21,45,2.14286,7.51739,67.2,66.6,64.6,62.6,60.1,NA,52.07,NA,NA,NA,-4.85,-3.98,NA,NA
482,New Mexico,CIB,ND,6,CI06,CIB6ND,NDCIB6,29.2,8,1.02,0.92,3.37,0.2283,0.1247,0.2283,0.5813,1,green,7,21.4,3.05714,16.45,85.3,76.6333,85.3,78,76.6,NA,65.405,NA,NA,NA,-0.81,-1.68,NA,NA
483,New Mexico,CIB,ND,7,CI07,CIB7ND,NDCIB7,28.5875,8,2.34,1.74,7.8,0.5141,0.1387,0.5141,1.1669,1,green,11,45.7,4.15455,11.11538,72,70.9,72,71.7,67.4,NA,60.96,NA,NA,NA,-2.68,-2.55,NA,NA
484,New Mexico,CIB,ND,8,CI08,CIB8ND,NDCIB8,27.36666667,8,4.9,2.29,9.92,0.3705,0.3422,0.3705,1.0832,1,purple,26,74.7,2.87308,12.42857,65,62.5333,63,62.75,60.9,NA,49.53,NA,NA,NA,-5.8,-7.82,NA,NA
485,New Mexico,CIB,ND,9,CI09,CIB9ND,NDCIB9,28.32,8,2.43,1.67,6.82,0.4557,0.0752,0.4557,0.9866,1,purple,7,32.8,4.68571,8.56667,85,84.1,85,78,73,NA,45.085,NA,NA,NA,-3.2,-4.99,NA,NA
486,New Mexico,CIB,ND,10,CI10,CIB10ND,NDCIB10,27.05,8,5.01,2.51,6.54,0.1363,0.2853,0.1363,0.5579,1,purple,26,101.5,3.90385,10.95,69.7,69.3667,69.2,69.1,69.1,NA,64.77,NA,NA,NA,NA,NA,NA,NA
487,New Mexico,CIB,ND,11,CI11,CIB11ND,NDCIB11,27.83333333,8,3.45,1.82,6.16,0.0752,0.1314,0.0752,0.2818,1,purple,12,45.3,3.775,10.25,94.1,85.1333,80.3,86.35,83.4,NA,53.34,NA,NA,NA,NA,NA,-0.6,-1.6
488,New Mexico,CIB,ND,12,CI12,CIB12ND,NDCIB12,28.76666667,8,2.62,0.87,5.57,0.4053,0.0717,0.4053,0.8823,1,purple,7,21.8,3.11429,7.95556,76,68.7667,75.6,72,72,NA,64.77,NA,NA,NA,NA,NA,-0.5,-1.25
489,New Mexico,CIB,ND,13,CI13,CIB13ND,NDCIB13,28.2,8,3.3,2.27,9.43,0.7196,0.2564,0.7196,1.6956,1,purple,18,79.8,4.43333,12.63,83,82.1333,81.7,81.7,79,NA,71.12,NA,NA,NA,NA,NA,NA,NA
490,New Mexico,CIB,ND,14,CI14,CIB14ND,NDCIB14,28.3,8,2.45,1.21,6.76,0.26,0.2079,0.26,0.7279,1,purple,26,61.8,2.37692,7.16071,69.5,64.9,63.1,63.6,64.6,NA,48.895,NA,NA,NA,NA,NA,-0.35,-1.1
491,New Mexico,CIB,ND,15,CI15,CIB15ND,NDCIB15,28.06666667,8,0.82,0.61,2.17,0.1444,0.022,0.1444,0.3108,1,green,3,11.8,3.93333,3.46,73.6,70.8,67.5,67.85,66.6,NA,49.53,NA,NA,NA,NA,NA,NA,NA
492,New Mexico,CIB,ND,16,CI16,CIB16ND,NDCIB16,27.78333333,8,3.37,1.76,9.71,0.6215,0.2125,0.6762,1.5102,1,purple,15,54.7,3.64667,11.74706,87.9,87.5,87.9,87.1,76,NA,60.325,NA,NA,NA,NA,NA,NA,NA
493,New Mexico,CIB,ND,17,CI17,CIB17ND,NDCIB17,27.56666667,8,3.84,0.97,8.48,0.3773,0.1457,0.3773,0.9003,1,purple,17,52.6,3.09412,12.13684,100.1,89.4,89.2,100.1,90.8,NA,62.865,NA,NA,NA,NA,NA,NA,NA
494,New Mexico,CIB,D,1,CI01,CIB1D,DCIB1,8.65,7,1.74,0.88,6.7,0.519,0.1791,0.519,1.2171,1,purple,12,55.9,4.65833,15.7,65.6,65.3333,57.2,56.85,64.8,NA,57.15,NA,NA,NA,NA,NA,-1.55,-2.3
495,New Mexico,CIB,D,2,CI02,CIB2D,DCIB2,11.85,7,1.59,1.46,4.5,0.3752,0.0094,0.3752,0.7598,1,green,2,4.4,2.2,3.1,73.2,72.4333,67.9,66.15,57.1,NA,21.59,NA,NA,NA,NA,NA,-0.5,-1.3
496,New Mexico,CIB,D,3,CI03,CIB3D,DCIB3,10.26875,7,0.69,0.85,3.69,0.3597,0.0644,0.3597,0.7838,1,green,7,18.8,2.68571,7.97778,73.5,72.6,68.2,64.7,58.5,NA,45.72,NA,NA,NA,NA,NA,-0.65,-1.5
497,New Mexico,CIB,D,4,CI04,CIB4D,DCIB4,9.428571429,7,1.18,0.72,5.19,0.2541,0.0418,0.2541,0.55,1,green,7,21.2,3.02857,4.97778,77.9,77.9,77.9,77.9,77.6,NA,54.61,NA,NA,NA,NA,NA,-3.15,-3.15
498,New Mexico,CIB,D,5,CI05,CIB5D,DCIB5,9.166666667,7,1.94,1.15,5.44,0.5133,0.1444,0.5133,1.171,1,purple,16,38.4,2.4,9.36111,71.3,70.5333,54.8,54.5,54.2,NA,44.45,NA,NA,NA,-4.18,-4.62,NA,NA
499,New Mexico,CIB,D,6,CI06,CIB6D,DCIB6,9.933333333,7,tr,tr,tr,tr,0.0973,0.1918,0.2891,1,purple,4,12.8,3.2,20.28,78.8,73.2667,76.2,75.35,73,NA,63.5,NA,NA,NA,-5.8,-5.07,NA,NA
500,New Mexico,CIB,D,7,CI07,CIB7D,DCIB7,9.8,7,tr,tr,tr,tr,0.0706,0.544,0.6146,1,purple,8,28.3,3.5375,8.7,62.6,61.4,58.8,56,53.6,NA,35.56,NA,NA,NA,-5.08,-5.82,NA,NA
501,New Mexico,CIB,D,8,CI08,CIB8D,DCIB8,9.37,7,2,1.26,4.44,0.5047,0.0961,0.5905,1.1913,1,purple,12,33.7,2.80833,7.76429,56.8,56.8,55.6,54.9,54.9,NA,41.91,NA,NA,NA,-5.72,-6.61,NA,NA
502,New Mexico,CIB,D,9,CI09,CIB9D,DCIB9,8.51,7,1.78,1.08,5.22,0.5335,0.1501,0.5335,1.2171,1,purple,11,46.2,4.2,12,68.1,64.6333,68.1,68.1,67.9,NA,64.77,NA,NA,NA,-4.05,-4,NA,NA
503,New Mexico,CIB,D,10,CI10,CIB10D,DCIB10,8.628571429,7,1.46,1.08,5.56,0,0.2091,0,0.2091,1,purple,20,73.1,3.655,8.94545,66.8,NA,66.8,65.6,65.4,NA,44.45,NA,NA,NA,NA,NA,NA,NA
504,New Mexico,CIB,D,11,CI11,CIB11D,DCIB11,8.791666667,7,tr,tr,tr,tr,0.0761,0.2038,0.2799,1,purple,7,27,3.85714,10.2125,70.5,68.1,70.5,70,69.5,NA,60.96,NA,NA,NA,NA,NA,-3.3,-3.65
505,New Mexico,CIB,D,12,CI12,CIB12D,DCIB12,9.985714286,7,1.97,1.36,4.75,0.4256,0.0742,0.4256,0.9254,1,green,9,26.8,2.97778,6.51818,67.6,66.7333,67.6,67,66,NA,52.07,NA,NA,NA,NA,NA,-3.3,-1.25
506,New Mexico,CIB,D,13,CI13,CIB13D,DCIB13,8.414285714,7,1.62,1.39,4.94,0,0.2044,0,0.2044,1,purple,19,64.1,3.37368,9.67143,70.9,67.7,70.7,69.55,0,NA,66.04,NA,NA,NA,NA,NA,NA,NA
507,New Mexico,CIB,D,14,CI14,CIB14D,DCIB14,9.7875,7,tr,tr,tr,tr,0.1237,0.3029,0.4266,1,green,12,28.7,2.39167,8.82857,69.9,68.8333,68.2,69.9,65.3,NA,48.26,NA,NA,NA,NA,NA,-1.4,-1.4
508,New Mexico,CIB,D,15,CI15,CIB15D,DCIB15,9.514285714,7,1.25,0.91,6.67,0.5298,0.0652,0.5298,1.1248,1,green,8,36.1,4.5125,10.69,73,72.6667,71.4,71.4,65.6,NA,60.96,NA,NA,NA,NA,NA,NA,NA
509,New Mexico,CIB,D,16,CI16,CIB16D,DCIB16,9.29,7,1.26,1.08,7.18,0.3539,0.1212,0.3539,0.829,1,purple,11,40.8,3.70909,12.07692,80.2,79.2,80.2,78.9,68.8,NA,53.34,NA,NA,NA,NA,NA,NA,NA
510,New Mexico,CIB,D,17,CI17,CIB17D,DCIB17,8.8125,7,1.75,1.56,5.77,0.3393,0.072,0.3754,0.7867,1,green,7,24.6,3.51429,12.775,83,83,83,83,81.6,NA,60.96,NA,NA,NA,NA,NA,NA,NA
