"","pop","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","abbv","col","orig","annual_AI_CGIAR","legend.order"
"1","Andrus",-0.493112869850916,0.611567432924386,-0.853204399659082,0.312432442580835,0.0878242504246138,-0.796826123527214,-0.716990113516465,-0.468777625688446,-0.0495417261953638,"A","#859D59","#A6CEE3",0.3418,"E"
"2","Andrus",-0.632012835799724,0.268054858140715,-2.01201196150947,0.120525454780049,-0.388076299480412,-0.00729192055831188,-1.50393667699571,-1.0391847813624,0.0300220068594978,"A","#859D59","#A6CEE3",0.3418,"E"
"3","Andrus",-0.107026759590731,1.85728363271277,-0.11587912396084,0.962780346737875,0.458353958453193,0.449269529245824,-0.399554785940959,0.383993741107289,0.450306800185705,"A","#859D59","#A6CEE3",0.3418,"E"
"4","Andrus",-0.45722120831768,0.276606377614231,0.610513777514191,0.51230866393967,0.427223625813908,0.423448797712567,0.0624435590982941,-0.152688711416713,-0.221863883267583,"A","#859D59","#A6CEE3",0.3418,"E"
"5","Andrus",-0.289878367190158,1.1990971328833,-0.767889091458219,1.93148533185916,0.295535264591485,1.66286792146227,-0.703056530879567,-1.00289739769925,0.175747295478441,"A","#859D59","#A6CEE3",0.3418,"E"
"6","Andrus",-0.694358301309491,2.33693713542703,-1.00619228577276,1.72326724758581,0.806659353791042,4.04244662716959,-1.98875073171134,-0.224471364927475,0.580408765864778,"A","#859D59","#A6CEE3",0.3418,"E"
"7","Andrus",-0.212161724774462,0.646798563117103,-1.68089049734373,-0.224389978772124,1.24727649316716,2.13594593813055,-2.01817674776421,-1.68731207317421,0.349767466132084,"A","#859D59","#A6CEE3",0.3418,"E"
"8","Andrus",-1.1145435374243,2.36874054717411,-2.17572139017629,1.35758446757122,1.62904123835489,3.61952784409812,-2.83191828305988,-0.0209510987906981,-0.994926255259427,"A","#859D59","#A6CEE3",0.3418,"E"
"9","Andrus",-0.873692202391414,2.66667244726208,-3.66763317870204,0.519717240544745,1.677945936172,2.89249569068333,0.222443519407362,1.54862040434653,-1.22813841576907,"A","#859D59","#A6CEE3",0.3418,"E"
"10","Andrus",-0.663011048206049,1.10249417864207,-0.365466796924551,2.47662968850294,1.8968018390551,3.27173613110342,-3.07987699291297,0.873346911637157,-0.654304653081243,"A","#859D59","#A6CEE3",0.3418,"E"
"11","Andrus",-0.422444880812718,0.95571826683288,-1.64549655811822,-1.07545406605629,0.704137095075017,0.924826063125064,0.0948304470309499,0.587340688048341,-0.791621447683567,"A","#859D59","#A6CEE3",0.3418,"E"
