"","2.5%","97.5%","mean","Rhat"
"sigma_a",0.0103819830512643,0.224884529584971,0.104428086335859,1.0059551189636
"sigma_b",0.000480902237019259,0.00742604599133748,0.00294538998074561,1.00199668159183
"a[1]",0.236396402677476,0.652999974139803,0.436115380134456,1.00032672743926
"a[2]",0.311182285856677,0.670060206225786,0.484813974119182,1.00098132952685
"a[3]",0.274779151186035,0.755678242308016,0.486177606786021,1.00016602438245
"a[4]",0.205947565119006,0.63732661931752,0.41615496357259,1.00083372570763
"a[5]",0.228542047819813,0.557127251960317,0.391147022106469,1.00133591393278
"a[6]",0.236271134601152,0.606803614934635,0.416557109879287,1.00021142999492
"a[7]",0.294678118223996,0.76932921938285,0.502729966029887,1.00054388281612
"a[8]",0.255896541134081,0.690203176482949,0.457329276962232,1.00108747696046
"a[9]",0.277873214330803,0.675575861631452,0.46449428519469,1.0006842847367
"a[10]",0.0630988370502767,0.504321631961813,0.29721982682125,1.00256962618688
"a[11]",0.14648096484332,0.549102667599396,0.35613682066361,1.00252029105421
"a[12]",0.261968520019923,0.612305386805331,0.43217258075831,1.00024659268572
"a[13]",0.119078995047601,0.514085293661127,0.329724303884558,1.00189434720417
"a[14]",0.21781969228433,0.638307891802298,0.425007922265614,0.999829450554343
"a[15]",0.19441606084031,0.585935234136329,0.397194756899713,1.00068397507095
"b[1]",-0.0037218029481955,0.010427070279307,0.00356945079802804,1.00043740565891
"b[2]",-0.0014659040764296,0.0133895014013555,0.00547768783659867,1.00145647836171
"b[3]",-0.00264586196849211,0.0131130259265594,0.00475055060491058,1.00059981804592
"b[4]",-0.00420909734669704,0.0116128969184865,0.00385265613854221,1.00128195660638
"b[5]",-0.00282447587131517,0.011316638873905,0.00415517316441637,1.0014514973699
"b[6]",-0.00223489542454184,0.0122851450265319,0.00462893093927754,1.0007612056785
"b[7]",-0.00131614028102054,0.0163796127158359,0.00611301448753712,1.0002921561412
"b[8]",-0.00236231273300759,0.0133575881026696,0.00494252810642122,1.00047768053085
"b[9]",-0.00240680042621031,0.0126562793535862,0.00467724941697002,1.00046626415904
"b[10]",-0.00682109426662009,0.00957697212571022,0.00209319187747649,1.00068863852734
"b[11]",-0.00463124565825249,0.010195083764031,0.00321271029139309,1.00134294321691
"b[12]",-0.00141186683444981,0.0131441257201988,0.00533987726433322,1.00068369353835
"b[13]",-0.00571046618917316,0.00920583507801213,0.0024116061880729,1.00062510949139
